"Account Number","Meter Number","Day","Hour of Day","Hourly Total","Daily Total","Unit of Measurement"
"0000 000 0000 0","0","06/25/2019","12:00 AM",0.075,11.955,"kWh"
"0000 000 0000 0","0","06/25/2019","1:00 AM",0.06,11.955,"kWh"
"0000 000 0000 0","0","06/25/2019","2:00 AM",0.937,11.955,"kWh"
"0000 000 0000 0","0","06/25/2019","3:00 AM",0.06,11.955,"kWh"
"0000 000 0000 0","0","06/25/2019","4:00 AM",0.075,11.955,"kWh"
"0000 000 0000 0","0","06/25/2019","5:00 AM",0.06,11.955,"kWh"
"0000 000 0000 0","0","06/25/2019","6:00 AM",0.075,11.955,"kWh"
"0000 000 0000 0","0","06/25/2019","7:00 AM",0.061,11.955,"kWh"
"0000 000 0000 0","0","06/25/2019","8:00 AM",0.074,11.955,"kWh"
"0000 000 0000 0","0","06/25/2019","9:00 AM",0.06,11.955,"kWh"
"0000 000 0000 0","0","06/25/2019","10:00 AM",1.166,11.955,"kWh"
"0000 000 0000 0","0","06/25/2019","11:00 AM",2.096,11.955,"kWh"
"0000 000 0000 0","0","06/25/2019","12:00 PM",0.204,11.955,"kWh"
"0000 000 0000 0","0","06/25/2019","1:00 PM",1.116,11.955,"kWh"
"0000 000 0000 0","0","06/25/2019","2:00 PM",0.627,11.955,"kWh"
"0000 000 0000 0","0","06/25/2019","3:00 PM",0.779,11.955,"kWh"
"0000 000 0000 0","0","06/25/2019","4:00 PM",1.17,11.955,"kWh"
"0000 000 0000 0","0","06/25/2019","5:00 PM",0.116,11.955,"kWh"
"0000 000 0000 0","0","06/25/2019","6:00 PM",0.823,11.955,"kWh"
"0000 000 0000 0","0","06/25/2019","7:00 PM",0.282,11.955,"kWh"
"0000 000 0000 0","0","06/25/2019","8:00 PM",1.146,11.955,"kWh"
"0000 000 0000 0","0","06/25/2019","9:00 PM",0.428,11.955,"kWh"
"0000 000 0000 0","0","06/25/2019","10:00 PM",0.266,11.955,"kWh"
"0000 000 0000 0","0","06/25/2019","11:00 PM",0.199,11.955,"kWh"
"0000 000 0000 0","0","06/26/2019","12:00 AM",0.157,27.966,"kWh"
"0000 000 0000 0","0","06/26/2019","1:00 AM",0.087,27.966,"kWh"
"0000 000 0000 0","0","06/26/2019","2:00 AM",0.105,27.966,"kWh"
"0000 000 0000 0","0","06/26/2019","3:00 AM",0.085,27.966,"kWh"
"0000 000 0000 0","0","06/26/2019","4:00 AM",0.1,27.966,"kWh"
"0000 000 0000 0","0","06/26/2019","5:00 AM",0.086,27.966,"kWh"
"0000 000 0000 0","0","06/26/2019","6:00 AM",0.607,27.966,"kWh"
"0000 000 0000 0","0","06/26/2019","7:00 AM",0.183,27.966,"kWh"
"0000 000 0000 0","0","06/26/2019","8:00 AM",0.335,27.966,"kWh"
"0000 000 0000 0","0","06/26/2019","9:00 AM",0.724,27.966,"kWh"
"0000 000 0000 0","0","06/26/2019","10:00 AM",0.706,27.966,"kWh"
"0000 000 0000 0","0","06/26/2019","11:00 AM",0.685,27.966,"kWh"
"0000 000 0000 0","0","06/26/2019","12:00 PM",0.29,27.966,"kWh"
"0000 000 0000 0","0","06/26/2019","1:00 PM",1.915,27.966,"kWh"
"0000 000 0000 0","0","06/26/2019","2:00 PM",1.98,27.966,"kWh"
"0000 000 0000 0","0","06/26/2019","3:00 PM",0.32,27.966,"kWh"
"0000 000 0000 0","0","06/26/2019","4:00 PM",1.869,27.966,"kWh"
"0000 000 0000 0","0","06/26/2019","5:00 PM",2.351,27.966,"kWh"
"0000 000 0000 0","0","06/26/2019","6:00 PM",1.672,27.966,"kWh"
"0000 000 0000 0","0","06/26/2019","7:00 PM",1.953,27.966,"kWh"
"0000 000 0000 0","0","06/26/2019","8:00 PM",2.799,27.966,"kWh"
"0000 000 0000 0","0","06/26/2019","9:00 PM",5.478,27.966,"kWh"
"0000 000 0000 0","0","06/26/2019","10:00 PM",2.438,27.966,"kWh"
"0000 000 0000 0","0","06/26/2019","11:00 PM",1.041,27.966,"kWh"
"0000 000 0000 0","0","06/27/2019","12:00 AM",1.006,51.329,"kWh"
"0000 000 0000 0","0","06/27/2019","1:00 AM",1.019,51.329,"kWh"
"0000 000 0000 0","0","06/27/2019","2:00 AM",0.592,51.329,"kWh"
"0000 000 0000 0","0","06/27/2019","3:00 AM",0.996,51.329,"kWh"
"0000 000 0000 0","0","06/27/2019","4:00 AM",0.859,51.329,"kWh"
"0000 000 0000 0","0","06/27/2019","5:00 AM",0.694,51.329,"kWh"
"0000 000 0000 0","0","06/27/2019","6:00 AM",0.994,51.329,"kWh"
"0000 000 0000 0","0","06/27/2019","7:00 AM",1.733,51.329,"kWh"
"0000 000 0000 0","0","06/27/2019","8:00 AM",2.042,51.329,"kWh"
"0000 000 0000 0","0","06/27/2019","9:00 AM",3.213,51.329,"kWh"
"0000 000 0000 0","0","06/27/2019","10:00 AM",3.626,51.329,"kWh"
"0000 000 0000 0","0","06/27/2019","11:00 AM",1.649,51.329,"kWh"
"0000 000 0000 0","0","06/27/2019","12:00 PM",3.058,51.329,"kWh"
"0000 000 0000 0","0","06/27/2019","1:00 PM",1.386,51.329,"kWh"
"0000 000 0000 0","0","06/27/2019","2:00 PM",1.525,51.329,"kWh"
"0000 000 0000 0","0","06/27/2019","3:00 PM",3.527,51.329,"kWh"
"0000 000 0000 0","0","06/27/2019","4:00 PM",4.309,51.329,"kWh"
"0000 000 0000 0","0","06/27/2019","5:00 PM",3.946,51.329,"kWh"
"0000 000 0000 0","0","06/27/2019","6:00 PM",2.576,51.329,"kWh"
"0000 000 0000 0","0","06/27/2019","7:00 PM",1.56,51.329,"kWh"
"0000 000 0000 0","0","06/27/2019","8:00 PM",4.096,51.329,"kWh"
"0000 000 0000 0","0","06/27/2019","9:00 PM",5.271,51.329,"kWh"
"0000 000 0000 0","0","06/27/2019","10:00 PM",1.055,51.329,"kWh"
"0000 000 0000 0","0","06/27/2019","11:00 PM",0.597,51.329,"kWh"
"0000 000 0000 0","0","06/28/2019","12:00 AM",0.607,48.522,"kWh"
"0000 000 0000 0","0","06/28/2019","1:00 AM",0.611,48.522,"kWh"
"0000 000 0000 0","0","06/28/2019","2:00 AM",1.141,48.522,"kWh"
"0000 000 0000 0","0","06/28/2019","3:00 AM",0.614,48.522,"kWh"
"0000 000 0000 0","0","06/28/2019","4:00 AM",0.594,48.522,"kWh"
"0000 000 0000 0","0","06/28/2019","5:00 AM",0.611,48.522,"kWh"
"0000 000 0000 0","0","06/28/2019","6:00 AM",0.592,48.522,"kWh"
"0000 000 0000 0","0","06/28/2019","7:00 AM",0.616,48.522,"kWh"
"0000 000 0000 0","0","06/28/2019","8:00 AM",1.81,48.522,"kWh"
"0000 000 0000 0","0","06/28/2019","9:00 AM",3.778,48.522,"kWh"
"0000 000 0000 0","0","06/28/2019","10:00 AM",6.618,48.522,"kWh"
"0000 000 0000 0","0","06/28/2019","11:00 AM",2.457,48.522,"kWh"
"0000 000 0000 0","0","06/28/2019","12:00 PM",1.378,48.522,"kWh"
"0000 000 0000 0","0","06/28/2019","1:00 PM",2.44,48.522,"kWh"
"0000 000 0000 0","0","06/28/2019","2:00 PM",3.841,48.522,"kWh"
"0000 000 0000 0","0","06/28/2019","3:00 PM",4.382,48.522,"kWh"
"0000 000 0000 0","0","06/28/2019","4:00 PM",3.832,48.522,"kWh"
"0000 000 0000 0","0","06/28/2019","5:00 PM",3.012,48.522,"kWh"
"0000 000 0000 0","0","06/28/2019","6:00 PM",1.953,48.522,"kWh"
"0000 000 0000 0","0","06/28/2019","7:00 PM",1.568,48.522,"kWh"
"0000 000 0000 0","0","06/28/2019","8:00 PM",3.297,48.522,"kWh"
"0000 000 0000 0","0","06/28/2019","9:00 PM",0.813,48.522,"kWh"
"0000 000 0000 0","0","06/28/2019","10:00 PM",0.917,48.522,"kWh"
"0000 000 0000 0","0","06/28/2019","11:00 PM",1.04,48.522,"kWh"
"0000 000 0000 0","0","06/29/2019","12:00 AM",0.815,58.674,"kWh"
"0000 000 0000 0","0","06/29/2019","1:00 AM",0.801,58.674,"kWh"
"0000 000 0000 0","0","06/29/2019","2:00 AM",0.997,58.674,"kWh"
"0000 000 0000 0","0","06/29/2019","3:00 AM",0.637,58.674,"kWh"
"0000 000 0000 0","0","06/29/2019","4:00 AM",1.041,58.674,"kWh"
"0000 000 0000 0","0","06/29/2019","5:00 AM",0.918,58.674,"kWh"
"0000 000 0000 0","0","06/29/2019","6:00 AM",0.64,58.674,"kWh"
"0000 000 0000 0","0","06/29/2019","7:00 AM",1.112,58.674,"kWh"
"0000 000 0000 0","0","06/29/2019","8:00 AM",1.247,58.674,"kWh"
"0000 000 0000 0","0","06/29/2019","9:00 AM",7.534,58.674,"kWh"
"0000 000 0000 0","0","06/29/2019","10:00 AM",4.362,58.674,"kWh"
"0000 000 0000 0","0","06/29/2019","11:00 AM",0.932,58.674,"kWh"
"0000 000 0000 0","0","06/29/2019","12:00 PM",2.304,58.674,"kWh"
"0000 000 0000 0","0","06/29/2019","1:00 PM",2.567,58.674,"kWh"
"0000 000 0000 0","0","06/29/2019","2:00 PM",2.483,58.674,"kWh"
"0000 000 0000 0","0","06/29/2019","3:00 PM",3.021,58.674,"kWh"
"0000 000 0000 0","0","06/29/2019","4:00 PM",4.373,58.674,"kWh"
"0000 000 0000 0","0","06/29/2019","5:00 PM",3.928,58.674,"kWh"
"0000 000 0000 0","0","06/29/2019","6:00 PM",2.754,58.674,"kWh"
"0000 000 0000 0","0","06/29/2019","7:00 PM",5.794,58.674,"kWh"
"0000 000 0000 0","0","06/29/2019","8:00 PM",4.633,58.674,"kWh"
"0000 000 0000 0","0","06/29/2019","9:00 PM",2.465,58.674,"kWh"
"0000 000 0000 0","0","06/29/2019","10:00 PM",1.553,58.674,"kWh"
"0000 000 0000 0","0","06/29/2019","11:00 PM",1.763,58.674,"kWh"
"0000 000 0000 0","0","06/30/2019","12:00 AM",1.926,37.365,"kWh"
"0000 000 0000 0","0","06/30/2019","1:00 AM",0.618,37.365,"kWh"
"0000 000 0000 0","0","06/30/2019","2:00 AM",0.625,37.365,"kWh"
"0000 000 0000 0","0","06/30/2019","3:00 AM",0.627,37.365,"kWh"
"0000 000 0000 0","0","06/30/2019","4:00 AM",0.612,37.365,"kWh"
"0000 000 0000 0","0","06/30/2019","5:00 AM",0.625,37.365,"kWh"
"0000 000 0000 0","0","06/30/2019","6:00 AM",0.617,37.365,"kWh"
"0000 000 0000 0","0","06/30/2019","7:00 AM",0.623,37.365,"kWh"
"0000 000 0000 0","0","06/30/2019","8:00 AM",1.364,37.365,"kWh"
"0000 000 0000 0","0","06/30/2019","9:00 AM",3.447,37.365,"kWh"
"0000 000 0000 0","0","06/30/2019","10:00 AM",2.215,37.365,"kWh"
"0000 000 0000 0","0","06/30/2019","11:00 AM",1.238,37.365,"kWh"
"0000 000 0000 0","0","06/30/2019","12:00 PM",0.74,37.365,"kWh"
"0000 000 0000 0","0","06/30/2019","1:00 PM",4.728,37.365,"kWh"
"0000 000 0000 0","0","06/30/2019","2:00 PM",0.731,37.365,"kWh"
"0000 000 0000 0","0","06/30/2019","3:00 PM",0.604,37.365,"kWh"
"0000 000 0000 0","0","06/30/2019","4:00 PM",0.885,37.365,"kWh"
"0000 000 0000 0","0","06/30/2019","5:00 PM",2.916,37.365,"kWh"
"0000 000 0000 0","0","06/30/2019","6:00 PM",2.435,37.365,"kWh"
"0000 000 0000 0","0","06/30/2019","7:00 PM",1.766,37.365,"kWh"
"0000 000 0000 0","0","06/30/2019","8:00 PM",1.259,37.365,"kWh"
"0000 000 0000 0","0","06/30/2019","9:00 PM",1.731,37.365,"kWh"
"0000 000 0000 0","0","06/30/2019","10:00 PM",2.396,37.365,"kWh"
"0000 000 0000 0","0","06/30/2019","11:00 PM",2.637,37.365,"kWh"
"0000 000 0000 0","0","07/01/2019","12:00 AM",0.681,31.277,"kWh"
"0000 000 0000 0","0","07/01/2019","1:00 AM",1.011,31.277,"kWh"
"0000 000 0000 0","0","07/01/2019","2:00 AM",1.033,31.277,"kWh"
"0000 000 0000 0","0","07/01/2019","3:00 AM",1.076,31.277,"kWh"
"0000 000 0000 0","0","07/01/2019","4:00 AM",0.653,31.277,"kWh"
"0000 000 0000 0","0","07/01/2019","5:00 AM",1.007,31.277,"kWh"
"0000 000 0000 0","0","07/01/2019","6:00 AM",0.699,31.277,"kWh"
"0000 000 0000 0","0","07/01/2019","7:00 AM",2.721,31.277,"kWh"
"0000 000 0000 0","0","07/01/2019","8:00 AM",0.834,31.277,"kWh"
"0000 000 0000 0","0","07/01/2019","9:00 AM",1.55,31.277,"kWh"
"0000 000 0000 0","0","07/01/2019","10:00 AM",0.632,31.277,"kWh"
"0000 000 0000 0","0","07/01/2019","11:00 AM",0.614,31.277,"kWh"
"0000 000 0000 0","0","07/01/2019","12:00 PM",1.096,31.277,"kWh"
"0000 000 0000 0","0","07/01/2019","1:00 PM",0.617,31.277,"kWh"
"0000 000 0000 0","0","07/01/2019","2:00 PM",1.123,31.277,"kWh"
"0000 000 0000 0","0","07/01/2019","3:00 PM",1.295,31.277,"kWh"
"0000 000 0000 0","0","07/01/2019","4:00 PM",1.127,31.277,"kWh"
"0000 000 0000 0","0","07/01/2019","5:00 PM",1.837,31.277,"kWh"
